condition,time_ms,V_h_mV,V_d_mV,V_s_mV,g_syn_nS
high,30.810000000000002,-68.02103376975008,-68.73271060072855,-69.50194415048578,0.054712789075421105
high,30.820000000000004,-68.02409210951807,-68.73343321081538,-69.50168365998533,0.05453071673432368
high,30.830000000000002,-68.02714274657885,-68.73415570386224,-69.50142378800687,0.054349250290639896
high,30.840000000000003,-68.03018570252738,-68.73487807733224,-69.50116453395155,0.054168387728074016
high,30.85,-68.03322099889796,-68.73560032870138,-69.50090589721961,0.05398812703704021
high,30.860000000000003,-68.03624865716439,-68.73632245545858,-69.50064787721044,0.05380846621463999
high,30.87,-68.03926869874007,-68.73704445510559,-69.50039047332262,0.053629403264640226
high,30.880000000000003,-68.04228114497832,-68.73776632515698,-69.50013368495388,0.05345093619745067
high,30.890000000000004,-68.04528601717232,-68.7384880631401,-69.4998775115011,0.05327306303010205
high,30.900000000000002,-68.0482833365554,-68.73920966659496,-69.49962195236037,0.053095781786224136
high,30.910000000000004,-68.05127312430118,-68.73993113307425,-69.49936700692696,0.05291909049602342
high,30.92,-68.05425540152369,-68.74065246014328,-69.49911267459535,0.052742987196261526
high,30.930000000000003,-68.05723018927758,-68.74137364537992,-69.49885895475917,0.05256746993023336
high,30.94,-68.06019750855816,-68.74209468637454,-69.4986058468113,0.0523925367477452
high,30.950000000000003,-68.06315738030166,-68.74281558073,-69.49835335014384,0.052218185705093276
high,30.96,-68.06610982538541,-68.74353632606156,-69.4981014641481,0.05204441486504196
high,30.970000000000002,-68.06905486462784,-68.74425691999689,-69.49785018821466,0.051871222296802376
high,30.980000000000004,-68.0719925187888,-68.74497736017595,-69.49759952173325,0.05169860607601078
high,30.990000000000002,-68.07492280856958,-68.74569764425104,-69.49734946409293,0.05152656428470751
high,31.000000000000004,-68.07784575461316,-68.7464177698866,-69.497100014682,0.05135509501131532
high,31.01,-68.0807613775043,-68.74713773475936,-69.49685117288801,0.05118419635061824
high,31.020000000000003,-68.08366969776978,-68.74785753655816,-69.49660293809777,0.05101386640374055
high,31.03,-68.08657073587835,-68.74857717298391,-69.49635530969739,0.050844103278125496
high,31.040000000000003,-68.08946451224115,-68.74929664174961,-69.49610828707223,0.05067490508751442
high,31.05,-68.09235104721166,-68.75001594058025,-69.49586186960697,0.050506269951925635
