n,group,target,rank,predictor,pearson,spearman,abs_spearman,bootstrap_abs_spearman_p05,bootstrap_abs_spearman_p95,cv_rmse,model
768,passive,A_h_mV,6,active_Zin_50Hz_Mohm,0.12626800146458772,0.13505052575094562,0.13505052575094562,0.07135351801116088,0.19276983878643617,4.718212630162684,univariate_linear
768,passive,A_h_mV,7,Zin_50Hz_Mohm,0.12523121067033793,0.13199047108200257,0.13199047108200257,0.06253434920586397,0.18719295673424183,4.718808973882102,univariate_linear
768,passive,A_h_mV,8,neck_radius_um,-0.12265800142712059,-0.1277428249661339,0.1277428249661339,0.06756807467778538,0.18700074969043046,4.705466511587526,univariate_linear
768,passive,local_voltage_isolation,1,dynamic_SMI_abs_50Hz,0.9957429957777024,0.9999562368710613,0.9999562368710613,0.9999239940979372,0.9999507171404154,0.005507540041648528,univariate_linear
768,passive,local_voltage_isolation,2,active_dynamic_SMI_abs_50Hz,0.995739215257996,0.99995311093328,0.99995311093328,0.9999207013693908,0.9999483104098953,0.0055098922179772645,univariate_linear
768,passive,local_voltage_isolation,3,R_neck_Mohm,0.9955567347355949,0.9998450011698424,0.9998450011698424,0.9997734474514623,0.999839270046673,0.005627889815296002,univariate_linear
768,passive,local_voltage_isolation,4,SMI,0.9259686829911314,0.9384077670334999,0.9384077670334999,0.9327005486015125,0.9442650907711106,0.022517370325009528,univariate_linear
768,passive,local_voltage_isolation,5,neck_length_um,0.6182160851361674,0.6471552429711964,0.6471552429711964,0.6135165131366215,0.6846244826523967,0.04675366778287137,univariate_linear
768,passive,local_voltage_isolation,6,neck_radius_um,-0.5972829428565372,-0.5741279322356029,0.5741279322356029,0.5271892222592138,0.6186115157175014,0.04773445152419281,univariate_linear
768,passive,local_voltage_isolation,7,a_type_density_scale,-0.05121965666308488,-0.05679675300895353,0.05679675300895353,0.01224324615658436,0.12147071952390937,0.05941380936376497,univariate_linear
768,passive,local_voltage_isolation,8,kdr_density_scale,0.04637340574546504,0.050024408805692554,0.050024408805692554,0.009447943561498185,0.10054258979656681,0.05940341388958599,univariate_linear
768,active,active_Gamma_h_to_d,1,dynamic_SMI_abs_50Hz,-0.9944057703481309,-0.9985160007748087,0.9985160007748087,0.9979039385167079,0.9989073070182088,0.006233548186860439,univariate_linear
768,active,active_Gamma_h_to_d,2,active_dynamic_SMI_abs_50Hz,-0.9944063493788645,-0.9985109409941627,0.9985109409941627,0.9978836526824222,0.9988987885214123,0.006233144326108185,univariate_linear
768,active,active_Gamma_h_to_d,3,R_neck_Mohm,-0.9941815706341323,-0.9983759163766079,0.9983759163766079,0.9976741976235128,0.998781904474086,0.006358212741336361,univariate_linear
768,active,active_Gamma_h_to_d,4,SMI,-0.9236328356849175,-0.9362839837120628,0.9362839837120628,0.930238416312715,0.9424667544858325,0.02258509195427483,univariate_linear
768,active,active_Gamma_h_to_d,5,neck_length_um,-0.6181757906378587,-0.6462506283664761,0.6462506283664761,0.612093198220414,0.6855896456585535,0.0462089335162132,univariate_linear
768,active,active_Gamma_h_to_d,6,neck_radius_um,0.5942236825289703,0.572704253013192,0.572704253013192,0.525196226890427,0.6178119210622474,0.047304053836232436,univariate_linear
768,active,active_Gamma_h_to_d,7,a_type_density_scale,0.04904095118993656,0.05346651664991023,0.05346651664991023,0.01105118035985351,0.11520023490251155,0.05872304652634895,univariate_linear
768,active,active_Gamma_h_to_d,8,kdr_density_scale,-0.04928346577811235,-0.0517165213123259,0.0517165213123259,0.012552261258576322,0.10311085190055781,0.05869846698190201,univariate_linear
768,active,active_Gamma_h_to_s,1,SMI,-0.6388685566035597,-0.6448388965842295,0.6448388965842295,0.6117826164037821,0.6776522104173203,0.008910569525200128,univariate_linear
768,active,active_Gamma_h_to_s,2,active_transfer_gain_50Hz,0.644305743887925,0.6218330541535342,0.6218330541535342,0.5781009941794487,0.6604527813818396,0.00885239113190102,univariate_linear
768,active,active_Gamma_h_to_s,3,transfer_gain_50Hz,0.6442581407309582,0.6218199411094515,0.6218199411094515,0.5781560176856041,0.6604808766318035,0.008852856880459394,univariate_linear
768,active,active_Gamma_h_to_s,4,electrotonic_distance_50Hz,-0.640258174393323,-0.6218199411094515,0.6218199411094515,0.5781560176856041,0.6604808766318035,0.008892558342797561,univariate_linear
768,active,active_Gamma_h_to_s,5,Ztransfer_50Hz_Mohm,0.6185794763640798,0.597552650328997,0.597552650328997,0.551568718733487,0.637685841838811,0.009097712576810439,univariate_linear
768,active,active_Gamma_h_to_s,6,membrane_capacitance_scale,-0.595062422203144,-0.5835602375627943,0.5835602375627943,0.5391305602457288,0.6269749886858462,0.009308156713723962,univariate_linear
