degeneracy_type,sample_a,sample_b,SMI_a,SMI_b,relative_SMI_difference,Gamma_h_to_d_a,Gamma_h_to_d_b,Gamma_h_to_d_abs_difference,A_h_mV_a,A_h_mV_b,A_h_relative_difference,max_morphology_relative_difference,radius_a_um,radius_b_um,length_a_um,length_b_um,rho_a_ohm_cm,rho_b_ohm_cm
same_transfer_different_SMI,4,84,0.06493530564657386,0.1012827661136027,0.3588711274557817,0.8583976909089291,0.8667087359440181,0.008311045035088949,21.984834299776775,10.157417422163952,0.5379807150847125,0.3851543780440613,0.13353866697053637,0.1262611415161064,0.9606816913502009,1.3019598387772269,159.44255660250641,98.03255788051302
same_transfer_different_SMI,5,11,0.08400969445488958,0.054207074057633545,0.35475215795790155,0.8605638834952057,0.88195119587682,0.021387312381614287,14.917784666612858,7.94970615589536,0.46709874598958323,0.2868044120980125,0.13075618098239553,0.1274031769085055,0.9088994395977054,0.6482230701676724,158.79884148484354,176.67891784213805
same_transfer_different_SMI,5,12,0.08400969445488958,0.049163847967389526,0.4147836355506699,0.8605638834952057,0.8839106422449158,0.02334675874971004,14.917784666612858,10.210097299035333,0.3155755008391889,0.3486215687628575,0.13075618098239553,0.09599278648181209,0.9088994395977054,0.5920374911174713,158.79884148484354,106.09343897387537
similar_outputs_different_parameters,5,17,0.08400969445488958,0.09995138328191487,0.1594944292272718,0.8605638834952057,0.872289108165067,0.011725224669861256,14.917784666612858,14.935314405061433,0.001173710708268331,0.4012571753300695,0.13075618098239553,0.11434217999954617,0.9088994395977054,1.0629753275085319,158.79884148484354,95.07966690494776
similar_outputs_different_parameters,5,30,0.08400969445488958,0.08711188072880903,0.03561151760202459,0.8605638834952057,0.8808115425816125,0.0202476590864068,14.917784666612858,14.428866185615535,0.032774201526823254,0.39143970093243347,0.13075618098239553,0.11744835340294,0.9088994395977054,0.5531201147839232,158.79884148484354,178.80821677364952
same_transfer_different_SMI,5,43,0.08400969445488958,0.05145352622543946,0.387528706546263,0.8605638834952057,0.8836249202640268,0.023061036768821097,14.917784666612858,20.949316792294294,0.28791068393695735,0.47914493672745945,0.13075618098239553,0.11052450555524182,0.9088994395977054,1.016464047127326,158.79884148484354,82.71118062919432
similar_outputs_different_parameters,5,70,0.08400969445488958,0.08834677802126771,0.049091587305357814,0.8605638834952057,0.8167745653709593,0.04378931812424647,14.917784666612858,14.52553513754666,0.026294087080106665,0.38386142317793,0.13075618098239553,0.0805639272611822,0.9088994395977054,0.6526273774530486,158.79884148484354,116.80627055234746
similar_outputs_different_parameters,5,71,0.08400969445488958,0.1022107036031981,0.17807341605795407,0.8605638834952057,0.8695931981799896,0.009029314684783851,14.917784666612858,15.116647862617064,0.01315524432476777,0.4529934425822343,0.13075618098239553,0.11237445077825384,0.9088994395977054,1.1421449989799597,158.79884148484354,86.86400760255374
similar_outputs_different_parameters,5,86,0.08400969445488958,0.07309251578607329,0.12995141500816262,0.8605638834952057,0.8636577865847124,0.0030939030895066333,14.917784666612858,14.047634631135168,0.05832970879551258,0.40612854652051844,0.13075618098239553,0.10681689762864759,0.9088994395977054,0.9994625637330206,158.79884148484354,94.30609880346182
same_transfer_different_SMI,6,12,0.08036169805645128,0.049163847967389526,0.38821790534025746,0.8695648796940127,0.8839106422449158,0.01434576255090303,14.248272279413229,10.210097299035333,0.28341506262569793,0.2618039909798928,0.11588717461236543,0.09599278648181209,0.7252796154854685,0.5920374911174713,143.719876127081,106.09343897387537
